Airline|Date_of_Journey|Source|Destination|Route|Dep_Time|Arrival_Time|Duration|Total_Stops|Additional_Info|Price|Month|Date|Day_of_week
INDIGO|2019-03-24|BANGLORE|NEW DELHI|BLR ? DEL|22|01:10|170|NON-STOP|NO INFO|3897|3|24|6
AIR INDIA|2019-01-05|KOLKATA|BANGLORE|CCU ? IXR ? BBI ? BLR|5|13:15|445|2 STOPS|NO INFO|7662|1|5|5
JET AIRWAYS|2019-09-06|NEW DELHI|COCHIN|DEL ? LKO ? BOM ? COK|9|04:25|1140|2 STOPS|NO INFO|13882|9|6|4
INDIGO|2019-12-05|KOLKATA|BANGLORE|CCU ? NAG ? BLR|18|23:30|325|1 STOP|NO INFO|6218|12|5|3
INDIGO|2019-01-03|BANGLORE|NEW DELHI|BLR ? NAG ? DEL|16|21:35|285|1 STOP|NO INFO|13302|1|3|3
SPICEJET|2019-06-24|KOLKATA|BANGLORE|CCU ? BLR|9|11:25|145|NON-STOP|NO INFO|3873|6|24|0
JET AIRWAYS|2019-12-03|BANGLORE|NEW DELHI|BLR ? BOM ? DEL|18|10:25|930|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|11087|12|3|1
JET AIRWAYS|2019-01-03|BANGLORE|NEW DELHI|BLR ? BOM ? DEL|8|05:05|1265|1 STOP|NO INFO|22270|1|3|3
JET AIRWAYS|2019-12-03|BANGLORE|NEW DELHI|BLR ? BOM ? DEL|8|10:25|1530|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|11087|12|3|1
MULTIPLE CARRIERS|2019-05-27|NEW DELHI|COCHIN|DEL ? BOM ? COK|11|19:15|470|1 STOP|NO INFO|8625|5|27|0
AIR INDIA|2019-01-06|NEW DELHI|COCHIN|DEL ? BLR ? COK|9|23:00|795|1 STOP|NO INFO|8907|1|6|6
INDIGO|2019-04-18|KOLKATA|BANGLORE|CCU ? BLR|20|22:55|155|NON-STOP|NO INFO|4174|4|18|3
AIR INDIA|2019-06-24|CHENNAI|KOLKATA|MAA ? CCU|11|13:55|135|NON-STOP|NO INFO|4667|6|24|0
JET AIRWAYS|2019-09-05|KOLKATA|BANGLORE|CCU ? BOM ? BLR|21|09:20|730|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|9663|9|5|3
INDIGO|2019-04-24|KOLKATA|BANGLORE|CCU ? BLR|17|19:50|155|NON-STOP|NO INFO|4804|4|24|2
AIR INDIA|2019-03-03|NEW DELHI|COCHIN|DEL ? AMD ? BOM ? COK|16|19:15|1595|2 STOPS|NO INFO|14011|3|3|6
